threshold,coverage,n_signals,directional_hit_rate,n_up_down_swaps,custom_cost,macro_f1,model
0.45,0.47368421052631576,72,0.3611111111111111,19,0.8355263157894737,0.3852258611942126,mlp__no_sentiment
0.47500000000000003,0.3881578947368421,59,0.3728813559322034,14,0.7697368421052632,0.37013208280016485,mlp__no_sentiment
0.5,0.35526315789473684,54,0.35185185185185186,14,0.7763157894736842,0.35424410979966536,mlp__no_sentiment
0.525,0.3092105263157895,47,0.3617021276595745,12,0.743421052631579,0.3480525841924938,mlp__no_sentiment
0.55,0.2565789473684211,39,0.41025641025641024,9,0.6842105263157895,0.35415974299324254,mlp__no_sentiment
0.5750000000000001,0.20394736842105263,31,0.41935483870967744,7,0.6578947368421053,0.33322583947583945,mlp__no_sentiment
0.6000000000000001,0.19078947368421054,29,0.41379310344827586,7,0.6578947368421053,0.3265521696894246,mlp__no_sentiment
0.625,0.16447368421052633,25,0.4,5,0.6447368421052632,0.30344594609464576,mlp__no_sentiment
0.6500000000000001,0.1513157894736842,23,0.391304347826087,5,0.6447368421052632,0.2931521277499363,mlp__no_sentiment
0.675,0.13815789473684212,21,0.3333333333333333,5,0.6578947368421053,0.2711980298420977,mlp__no_sentiment
0.7000000000000001,0.125,19,0.3157894736842105,5,0.6578947368421053,0.25989537029070714,mlp__no_sentiment
0.7250000000000001,0.10526315789473684,16,0.25,4,0.6578947368421053,0.2362698412698413,mlp__no_sentiment
0.75,0.07894736842105263,12,0.25,3,0.6381578947368421,0.22727833271673448,mlp__no_sentiment
0.7750000000000001,0.06578947368421052,10,0.3,3,0.625,0.23191060633815716,mlp__no_sentiment
0.8,0.05263157894736842,8,0.125,3,0.6381578947368421,0.20537958773252887,mlp__no_sentiment
0.8250000000000002,0.05263157894736842,8,0.125,3,0.6381578947368421,0.20537958773252887,mlp__no_sentiment
0.8500000000000001,0.05263157894736842,8,0.125,3,0.6381578947368421,0.20537958773252887,mlp__no_sentiment
0.875,0.05263157894736842,8,0.125,3,0.6381578947368421,0.20537958773252887,mlp__no_sentiment
0.9,0.039473684210526314,6,0.0,3,0.6381578947368421,0.19365079365079366,mlp__no_sentiment
0.3,0.8223684210526315,125,0.376,29,0.9736842105263158,0.40171134288781346,random_forest__all
0.325,0.8026315789473685,122,0.3770491803278688,29,0.9671052631578947,0.4101486275896768,random_forest__all
0.35,0.7631578947368421,116,0.3793103448275862,29,0.9539473684210527,0.42590668590668584,random_forest__all
0.375,0.7171052631578947,109,0.3577981651376147,29,0.9736842105263158,0.40588468893618335,random_forest__all
0.4,0.6052631578947368,92,0.358695652173913,24,0.9078947368421053,0.3979112594240514,random_forest__all
0.42500000000000004,0.5328947368421053,81,0.37037037037037035,19,0.8421052631578947,0.39258220934699767,random_forest__all
0.45,0.4342105263157895,66,0.3484848484848485,17,0.8223684210526315,0.3645030723265122,random_forest__all
0.47500000000000003,0.3684210526315789,56,0.3392857142857143,14,0.7894736842105263,0.3430889384247593,random_forest__all
0.5,0.2894736842105263,44,0.3181818181818182,14,0.7763157894736842,0.32123169681309216,random_forest__all
0.525,0.23026315789473684,35,0.37142857142857144,9,0.6973684210526315,0.32150069839236306,random_forest__all
0.55,0.19078947368421054,29,0.4482758620689655,8,0.6513157894736842,0.3398692810457516,random_forest__all
0.5750000000000001,0.1513157894736842,23,0.43478260869565216,7,0.6447368421052632,0.3127792855772131,random_forest__all
